[2022-05-30 16:30:27] [class-ss-plugin.php:268] Received request to start generating a static archive
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\class-demos-page.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\class-demos-page.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\class-widget-importer.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\class-widget-importer.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\core-api.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\core-api.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\core-helpers.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\core-helpers.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\class-import.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\class-import.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\wp-content-importer-v2\Logger.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\wp-content-importer-v2\Logger.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\wp-content-importer-v2\WPImporterLogger.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\wp-content-importer-v2\WPImporterLogger.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\wp-content-importer-v2\WPImporterLoggerCLI.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\wp-content-importer-v2\WPImporterLoggerCLI.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\wp-content-importer-v2\WXRImporter.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\wp-content-importer-v2\WXRImporter.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\wp-content-importer-v2\WXRImportInfo.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\import\wp-content-importer-v2\WXRImportInfo.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\languages\athemes-starter-sites.pot to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\languages\athemes-starter-sites.pot
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\README.txt to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\README.txt
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\themes\airi.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\themes\airi.php
[2022-05-30 16:30:36] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\themes\botiga.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\themes\botiga.php
[2022-05-30 16:30:36] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\themes\sydney-pro.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\themes\sydney-pro.php
[2022-05-30 16:30:36] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\themes\sydney.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\themes\sydney.php
[2022-05-30 16:30:36] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\elementor\assets\css\admin-rtl.css to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\elementor\assets\css\admin-rtl.css
